Meli id,Item Title,Shop ID,Shopname,Link,L1 Category,Promo Price
MLB-1318146661,ULTRASSOM 3MHZ SONOPULSE COMPACT IBRAMED ESTETICA BRINDE ,200025147,HSMED STORE,https://produto.mercadolivre.com.br/MLB-1318146661-ultrassom-3mhz-sonopulse-compact-ibramed-estetica-brinde-_JM,Beauty,1773.63
MLB-2744720015,MICROCNULA SMART GR 22G X 50MM CX C 10UN SMART MICRO ,538187398,DERMOPORTO,https://produto.mercadolivre.com.br/MLB-2744720015-microcnula-smart-gr-22g-x-50mm-cx-c-10un-smart-micro-_JM,Beauty,181.05
MLB-1586045751,KIT 25 CUECAS BOXER KIT SACOLEIRA REVENDA RENDA EXTRA ,449429205,PINHEIROSMARTA,https://produto.mercadolivre.com.br/MLB-1586045751-kit-25-cuecas-boxer-kit-sacoleira-revenda-renda-extra-_JM,Underwear & Sleepwear,214.93
MLB-1586045751,KIT 25 CUECAS BOXER KIT SACOLEIRA REVENDA RENDA EXTRA ,449429205,PINHEIROSMARTA,https://produto.mercadolivre.com.br/MLB-1586045751-kit-25-cuecas-boxer-kit-sacoleira-revenda-renda-extra-_JM,Underwear & Sleepwear,214.93
MLB-1586045751,KIT 25 CUECAS BOXER KIT SACOLEIRA REVENDA RENDA EXTRA ,449429205,PINHEIROSMARTA,https://produto.mercadolivre.com.br/MLB-1586045751-kit-25-cuecas-boxer-kit-sacoleira-revenda-renda-extra-_JM,Underwear & Sleepwear,214.93
MLB-2038451794,CALCULADORA FINANCEIRA HP 12C GOLD PORTUGUS LACRAD ORIGINAL ,820754261,ANGELELETRONICO.,https://produto.mercadolivre.com.br/MLB-2038451794-calculadora-financeira-hp-12c-gold-portugus-lacrad-original-_JM,Stationery,452.47
MLB-2038451794,CALCULADORA FINANCEIRA HP 12C GOLD PORTUGUS LACRAD ORIGINAL ,820754261,ANGELELETRONICO.,https://produto.mercadolivre.com.br/MLB-2038451794-calculadora-financeira-hp-12c-gold-portugus-lacrad-original-_JM,Stationery,452.47
MLB-2038451794,CALCULADORA FINANCEIRA HP 12C GOLD PORTUGUS LACRAD ORIGINAL ,820754261,ANGELELETRONICO.,https://produto.mercadolivre.com.br/MLB-2038451794-calculadora-financeira-hp-12c-gold-portugus-lacrad-original-_JM,Stationery,452.47
MLB-3070026537,ESTOJO ESCOLAR 3 DIVISORIAS REPARTICOES TRIPLO NYLON JOVENS ,827487435,NOOBCOMERCIOEBAZARDEAPARE,https://produto.mercadolivre.com.br/MLB-3070026537-estojo-escolar-3-divisorias-reparticoes-triplo-nylon-jovens-_JM,Stationery,45.29
MLB-3070026537,ESTOJO ESCOLAR 3 DIVISORIAS REPARTICOES TRIPLO NYLON JOVENS ,827487435,NOOBCOMERCIOEBAZARDEAPARE,https://produto.mercadolivre.com.br/MLB-3070026537-estojo-escolar-3-divisorias-reparticoes-triplo-nylon-jovens-_JM,Stationery,45.29
MLB-1637109814,KIT DVR INTELBRAS 16 CANAIS H265 2TB 12 CMERAS FULL HD 20M ,214117367,B2C SHOP,https://produto.mercadolivre.com.br/MLB-1637109814-kit-dvr-intelbras-16-canais-h265-2tb-12-cmeras-full-hd-20m-_JM,Cameras & Drones,3390.02
MLB-1786177099,LENTE YONGNUO EF 35MM F2 CANON ,709378817,TECHMAX COMERCIO,https://produto.mercadolivre.com.br/MLB-1786177099-lente-yongnuo-ef-35mm-f2-canon-_JM,Cameras & Drones,889.0
MLB-3065398506,CMERA IP EXTERNA 100 PROVA DAGUA WIFI ICSEE FULL HD 1080P ,533645099,MLO SHOP,https://produto.mercadolivre.com.br/MLB-3065398506-cmera-ip-externa-100-prova-dagua-wifi-icsee-full-hd-1080p-_JM,Cameras & Drones,267.54
MLB-1656450775,ADAPTADOR COMMLITE CM EF EOSM LENTE EF P CANON EOS M ,70184883,EMANIA_FOTO_VIDEO,https://produto.mercadolivre.com.br/MLB-1656450775-adaptador-commlite-cm-ef-eosm-lente-ef-p-canon-eos-m-_JM,Cameras & Drones,1374.0
MLB-1917427556,CARRINHO DE BONECA PASSEIO LUXO BEB REBORN INFANTIL MENINA ,367876830,ARMAZEM NACIONAL,https://produto.mercadolivre.com.br/MLB-1917427556-carrinho-de-boneca-passeio-luxo-beb-reborn-infantil-menina-_JM,Toys & Hobbies,175.89
